_id,Manufacturer Type (Type de fabricant),Manufacturer Name (Nom du fabricant),Manufacturer's Brand (Marque du fabricant)
338,Microbrewer,Bayside Brewing Co. Limited,Bayside Lager
339,Microbrewer,Bayside Brewing Co. Limited,Bayside Light
340,Microbrewer,Bayside Brewing Co. Limited,Bayside Clasic
341,Microbrewer,Beaches Brewing Company Inc. o/a Beaches Brewing Company,
342,Microbrewer,Belle River Brewhouse Inc. o/a Belle River Brewhouse ,"""West Beach"" - West Coast IPA"
343,Microbrewer,Belle River Brewhouse Inc. o/a Belle River Brewhouse,"""Bleeding Heart"" - American PA"
344,Microbrewer,Belle River Brewhouse Inc. o/a Belle River Brewhouse,"""Red Bridge"" - Canadian Pilsner "
345,Microbrewer,Belle River Brewhouse Inc. o/a Belle River Brewhouse,"""Old Town"" - Vienna Lager "
346,Microbrewer,Belle River Brewhouse Inc. o/a Belle River Brewhouse,"""Royal Citra"" - APA "
347,Microbrewer,Bellwoods Brewery Inc.,Belgian Dubbel
348,Microbrewer,Bellwoods Brewery Inc.,American Imperial IPA
349,Microbrewer,Bellwoods Brewery Inc.,Baltic Porter
350,Microbrewer,Beyond the Pale Brewing Company,India Pale Ale
351,Microbrewer,Beyond the Pale Brewing Company,Stout
352,Microbrewer,Beyond the Pale Brewing Company,Wheat Beer
353,Microbrewer,Bickford Brewing Company Inc. 0/a Bickford Brewing Co.,Colonel Bickfordís Premium Ontario Ale
354,Microbrewer,Bickford Brewing Company Inc. o/a Bickford Brewing Co.,Dog Park Pale Ale
